source_id,title,status,text_path,characters,wpl,bristol,weca,obc,fbc,clean_air_zone,demand_management,secretary_of_state,confirmation,net_proceeds,variation,revocation,rpi,consultation,boundary,licensing,enforcement,parking_inventory
SRC-BCC-0015,Public reports pack - Transport and Connectivity Policy Committee,downloaded,evidence/processed/text/SRC-BCC-0015.txt,259141,68,211,44,23,20,18,1,1,23,1,4,0,0,82,4,11,9,13
SRC-BCC-0016,Forward Plan - Transport and Connectivity Policy Committee,downloaded,evidence/processed/text/SRC-BCC-0016.txt,15044,4,48,3,4,5,0,0,0,1,0,0,0,0,3,0,0,4,0
SRC-BCC-0017,Forward Plan Update - Transport and Connectivity Policy Committee,downloaded,evidence/processed/text/SRC-BCC-0017.txt,13053,4,38,2,4,5,0,0,0,1,0,0,0,0,4,0,0,4,0
SRC-BCC-0022,Printed minutes - Transport and Connectivity Policy Committee 12 September 2024,downloaded,evidence/processed/text/SRC-BCC-0022.txt,29173,9,27,3,9,5,1,0,0,15,0,2,0,0,10,0,0,0,5
SRC-BCC-0023,Decision notice - Transport and Connectivity Policy Committee 23 October 2025,downloaded,evidence/processed/text/SRC-BCC-0023.txt,8528,1,14,0,0,0,3,0,0,0,0,1,0,0,7,0,0,0,0
SRC-BCC-0024,Printed minutes - Transport and Connectivity Policy Committee 23 October 2025,downloaded,evidence/processed/text/SRC-BCC-0024.txt,29350,4,67,1,3,0,8,0,0,4,0,1,1,0,18,0,0,1,1
SRC-BCC-0025,Decision notice - Transport and Connectivity Policy Committee 19 March 2026,downloaded,evidence/processed/text/SRC-BCC-0025.txt,4733,1,7,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
SRC-BCC-0026,Printed minutes - Transport and Connectivity Policy Committee 19 March 2026,downloaded,evidence/processed/text/SRC-BCC-0026.txt,24587,2,24,4,2,0,4,0,0,12,0,0,0,0,21,1,2,1,2
SRC-BCC-0027,Appendix B - Equality Impact Assessment - Workplace Parking Levy reviewed Oct 2025,downloaded,evidence/processed/text/SRC-BCC-0027.txt,31301,31,34,0,3,0,0,1,0,1,1,0,0,0,10,1,0,0,7
SRC-BCC-0028,Bristol City Council Constitution page,downloaded,evidence/processed/text/SRC-BCC-0028.txt,1644,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
